Telephely,Leltárhely megn.,Anyagnem,HETK kód,Eszköz,Megnevezés,Mennyiség,Bázis menny.egység,Eszközosztály,Gyártási szám
AHA7700524,Minősített rendszerek,31,403051014000,130000030124,AT8516 TEMPEST SWITCH LEV-A,1,DB,13111000,.01032
AHA7700524,Minősített rendszerek,31,401205117200,130000032246,SZERVER,1,DB,13112200,93112501
AHA7700524,Minősített rendszerek,31,401108060008,130000116721,Szamitogep konfiguracio,1,DB,13111000,D9502117
AHA7700524,Minősített rendszerek,31,401108060008,130000116783,Szamitogep konfiguracio,1,DB,13111000,MH54/028
AHA7700524,Minősített rendszerek,31,401108061600,130000161226,"Pentium IV 2,8GHz számítógép",1,DB,13111000,CZC4400CBM
AHA7700524,Minősített rendszerek,31,403059155206,130000168801,Cisco CC-WS-C2950 12 Port switch,1,DB,13111000,FHK0717Y02S
AHA7700524,Minősített rendszerek,31,401174002407,130000176134,Tempest AMSG720B tápszűrő,1,DB,13111000,261191
AHA7700524,Minősített rendszerek,31,401174002407,130000176135,Tempest AMSG720B tápszűrő,1,DB,13111000,261192
AHA7700524,Minősített rendszerek,31,401174002407,130000176136,Tempest AMSG720B tápszűrő,1,DB,13111000,261190
AHA7700524,Minősített rendszerek,31,401129005010,130000206454,HP ProDesk 400 G6 i5-10400T szgép 2 GHz,1,DB,13111000,8CC2200YP0
AHA7700524,Minősített rendszerek,31,401129005010,130000208295,HP ProDesk 400 G6 i5-10400T szgép 2 GHz,1,DB,13111000,8CC12505NV
AHA7700524,Minősített rendszerek,31,401149040106,130000212818,"DELL Latitude Laptop 5520 2,4GHz",1,DB,13111000,DNCVLL3
AHA7700524,Minősített rendszerek,31,401230011300,130000224375,HPE DL360 Gen10+ 8SFF CTO szerver,1,DB,13111000,CZJ3350XVB
AHA7700524,Minősített rendszerek,31,401230011300,130000224376,HPE DL360 Gen10+ 8SFF CTO szerver,1,DB,13111000,CZJ3350XV9
AHA7700524,Minősített rendszerek,31,401166000803,130000229721,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505N6
AHA7700524,Minősített rendszerek,31,401166000803,130000229722,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505M9
AHA7700524,Minősített rendszerek,31,401166000803,130000229723,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505M7
AHA7700524,Minősített rendszerek,31,401129005010,130000245747,HP ProDesk 400 G6 i5-10400T szgép 2 GHz,1,DB,13111000,8CC12505NR
AHA7700524,Minősített rendszerek,31,401129005010,130000245748,HP ProDesk 400 G6 i5-10400T szgép 2 GHz,1,DB,13111000,8CC12505P0
AHA7700524,Minősített rendszerek,31,401166000803,130000245749,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505MY
AHA7700524,Minősített rendszerek,31,401166000803,130000245750,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505M5
AHA7700524,Minősített rendszerek,31,401166000803,130000245751,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505MZ
AHA7700524,Minősített rendszerek,31,401166000803,130000245752,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505N8
AHA7700524,Minősített rendszerek,31,401166000803,130000245753,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505MD
AHA7700524,Minősített rendszerek,31,401166000803,130000245754,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505N2
AHA7700524,Minősített rendszerek,31,401166000803,130000245755,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505N4
AHA7700524,Minősített rendszerek,31,401166000803,130000245756,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505MQ
AHA7700524,Minősített rendszerek,31,401166000803,130000245757,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505MH
AHA7700524,Minősített rendszerek,31,401166000803,130000245758,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505N3
AHA7700524,Minősített rendszerek,31,401166000803,130000245759,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505MR
AHA7700524,Minősített rendszerek,31,401166000803,130000245760,HP Elite Mini 600 G9 i5-12500T szgép,1,DB,13111000,8CC32505N5
AHA7700524,Minősített rendszerek,31,403011103300,130000249994,HP LaserJet E42540F MFP A4 nyomtató,1,DB,13111000,CNBRS5160B
AHA7700524,Minősített rendszerek,31,401166001108,130000254308,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283867
AHA7700524,Minősített rendszerek,31,401230012100,130000257874,HPE DL360 Gen10+ 8SFF NC CTO szerver,1,DB,13111000,CZUD2100HP
AHA7700524,Minősített rendszerek,31,403482004810,130000257876,HPE MSA 2060 16GB FC SFF storage,1,DB,13111000,ACV437W1TR
AHA7700524,Minősített rendszerek,11,654413264000,130000258947,HNV-660 kézi GPS vevő,1,DB,13113100,4TFGLC
AHA7700524,Minősített rendszerek,15,772756002310,130000260458,Rögzített tűzirányító központ,1,DB,13113120,N0013A29752
AHA7700524,Minősített rendszerek,31,401166001108,130000262106,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283869
AHA7700524,Minősített rendszerek,31,401166001108,130000262107,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386P
AHA7700524,Minősített rendszerek,31,401166001108,130000262108,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283873
AHA7700524,Minősített rendszerek,31,401166001108,130000262109,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283874
AHA7700524,Minősített rendszerek,31,401166001108,130000262110,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386B
AHA7700524,Minősített rendszerek,31,401166001108,130000262111,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386T
AHA7700524,Minősített rendszerek,31,401166001108,130000262112,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386J
AHA7700524,Minősített rendszerek,31,401166001108,130000262113,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283866
AHA7700524,Minősített rendszerek,31,401166001108,130000262114,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283868
AHA7700524,Minősített rendszerek,31,401166001108,130000262115,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283865
AHA7700524,Minősített rendszerek,31,401166001108,130000262116,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386L
AHA7700524,Minősített rendszerek,31,401166001108,130000262117,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386X
AHA7700524,Minősített rendszerek,31,401166001108,130000262118,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386H
AHA7700524,Minősített rendszerek,31,401166001108,130000262119,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386G
AHA7700524,Minősített rendszerek,31,401166001108,130000262120,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386K
AHA7700524,Minősített rendszerek,31,401166001108,130000262121,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283872
AHA7700524,Minősített rendszerek,31,401166001108,130000262122,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386R
AHA7700524,Minősített rendszerek,31,401166001108,130000262123,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283864
AHA7700524,Minősített rendszerek,31,401166001108,130000262124,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283870
AHA7700524,Minősített rendszerek,31,401166001108,130000262125,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC4283871
AHA7700524,Minősített rendszerek,31,401166001108,130000262126,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386W
AHA7700524,Minősített rendszerek,31,401166001108,130000262127,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386N
AHA7700524,Minősített rendszerek,31,401166001108,130000262128,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386Y
AHA7700524,Minősített rendszerek,31,401166001108,130000262129,HP Elite Mini 600 G9 i5-13500T szgép,1,DB,13111000,8CC428386F
AHA7700524,Minősített rendszerek,31,403040202208,193000002518,"Monitor Wide 16:9 LCD 22""-os",1,DB,19311100,823DAKB5YNDCN2
AHA7700524,Minősített rendszerek,31,403040253301,193000015890,"MONITOR LED LG 22M37A-B 21,5",1,DB,19311100,703NTXRAL826
AHA7700524,Minősített rendszerek,32,657637902100,193000016139,Tv monitor leV-MONIT LED SAMSUNG T24D390,1,DB,19311800,.0397H4MFB-17743
AHA7700524,Minősített rendszerek,31,401129000108,193000016366,"HP dc8100 DualCore 2,8GHz szg",1,DB,19311100,CZC1212NTN
AHA7700524,Minősített rendszerek,31,403013601208,193000058493,Brother MFC-J3930DW MFP-A/3,1,DB,19311100,E76312G7F131886
AHA7700524,Minősített rendszerek,31,403040252600,193000077407,"Monitor Wide 16:9 LED 24""",1,DB,19311100,ZZV2H4ZM100161
AHA7700524,Minősített rendszerek,31,403040252600,193000077523,"Monitor Wide 16:9 LED 24""",1,DB,19311100,ZZV2H4ZM300587
AHA7700524,Minősített rendszerek,31,403040252600,193000077524,"Monitor Wide 16:9 LED 24""",1,DB,19311100,ZZV2H4ZM300258
AHA7700524,Minősített rendszerek,31,403011095504,193000077528,HP LJ Pro M426fdn MF nyomtató,1,DB,19311100,PHBLM2C67M
AHA7700524,Minősített rendszerek,31,401112300104,193000077531,"Intel C-i3 3,4GHz számítógép",1,DB,19311100,54RE_SZG026
AHA7700524,Minősített rendszerek,31,401112300104,193000077532,"Intel C-i3 3,4GHz számítógép",1,DB,19311100,54RE_SZG027
AHA7700524,Minősített rendszerek,31,403040252600,193000077564,"Monitor Wide 16:9 LED 24""",1,DB,19311100,ZZV2H4ZM300424
AHA7700524,Minősített rendszerek,31,403040252600,193000077567,"Monitor Wide 16:9 LED 24""",1,DB,19311100,ZZV2H4ZM300083
AHA7700524,Minősített rendszerek,31,401112300104,193000077571,"Intel C-i3 3,4GHz számítógép",1,DB,19311100,54RE_SZG029
AHA7700524,Minősített rendszerek,31,403052001510,193000084960,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,QBIZ2J7000346
AHA7700524,Minősített rendszerek,31,403052001510,193000085181,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,QBIZ2J7000309
AHA7700524,Minősített rendszerek,31,401112300104,193000109992,"Intel C-i3 3,4GHz számítógép",1,DB,19311100,1944018
AHA7700524,Minősített rendszerek,31,403040252600,193000111074,"Monitor Wide 16:9 LED 24""",1,DB,19311100,ZZV2H4ZM100225
AHA7700524,Minősített rendszerek,31,403059156303,193000116928,TP-LINK TL-SG108 8P switch,1,DB,19311100,22252N4003494
AHA7700524,Minősített rendszerek,31,403052001510,193000123959,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,QBIZ2J7000348
AHA7700524,Minősített rendszerek,31,403040252600,193000129119,"Monitor Wide 16:9 LED 24""",1,DB,19311100,ZZV2H4ZM100048
AHA7700524,Minősített rendszerek,31,401129002808,193000129120,"EXPERT I3-9100 3,6GHz szgép",1,DB,19311100,2032012
AHA7700524,Minősített rendszerek,31,403049014406,193000182241,"HP ProDisplay 24"" LED monitor",1,DB,19311100,3CM15013F2
AHA7700524,Minősített rendszerek,31,403049014406,193000182243,"HP ProDisplay 24"" LED monitor",1,DB,19311100,3CM150158N
AHA7700524,Minősített rendszerek,31,403049014406,193000182244,"HP ProDisplay 24"" LED monitor",1,DB,19311100,3CM15013FF
AHA7700524,Minősített rendszerek,31,403049014406,193000186716,"HP ProDisplay 24"" LED monitor",1,DB,19311100,3CM2032H38
AHA7700524,Minősített rendszerek,31,403049014406,193000189547,"HP ProDisplay 24"" LED monitor",1,DB,19311100,3CM2032H2P
AHA7700524,Minősített rendszerek,31,669210192606,193000202120,"Rack szekr. falra 19"" 9U",1,DB,19311800,RACK_9U_009
AHA7700524,Minősített rendszerek,31,403002100901,193000202121,TP-Link TL-SG1024 Switch 24p,1,DB,19311100,2224429001328
AHA7700524,Minősített rendszerek,31,403040252600,193000204576,"Monitor Wide 16:9 LED 24""",1,DB,19311100,ZZV2H4ZN300525
AHA7700524,Minősített rendszerek,31,403002100901,193000207107,TP-Link TL-SG1024 Switch 24p,1,DB,19311100,2224429001291
AHA7700524,Minősített rendszerek,31,403475027503,193000211437,"K-HDD 1TB 5,4K USB 3.2 2,5""",1,DB,19311100,1M4821348490
AHA7700524,Minősített rendszerek,31,403052001510,193000214719,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,TM24111000630
AHA7700524,Minősített rendszerek,31,403052001510,193000214720,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,TM24111000629
AHA7700524,Minősített rendszerek,31,403059144904,193000217803,TP-Link TL-SG1016DE 16P switch,1,DB,19311100,2223517001199
AHA7700524,Minősített rendszerek,31,403059144904,193000217804,TP-Link TL-SG1016DE 16P switch,1,DB,19311100,22250H8001640
AHA7700524,Minősített rendszerek,31,403052001510,193000229559,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,TM24111000627
AHA7700524,Minősített rendszerek,31,403052001510,193000229560,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,TM24111000621
AHA7700524,Minősített rendszerek,31,403052001510,193000229561,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,TM24111000623
AHA7700524,Minősített rendszerek,31,403052001510,193000229562,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,TM24111000622
AHA7700524,Minősített rendszerek,31,403002100901,193000231699,TP-Link TL-SG1024 Switch 24p,1,DB,19311100,2224429001472
AHA7700524,Minősített rendszerek,31,403052001510,193000237048,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,TM24111000910
AHA7700524,Minősített rendszerek,31,403052001510,193000237049,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,TM24111000909
AHA7700524,Minősített rendszerek,31,403052001510,193000237050,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,TM24111000908
AHA7700524,Minősített rendszerek,31,403052001510,193000237051,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,TM24111000906
AHA7700524,Minősített rendszerek,31,403052001510,193000237052,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,TM24111000625
AHA7700524,Minősített rendszerek,31,403052001510,193000237053,DMC-300SC MÉDIA KONVERTER,1,DB,19311100,TM24111000624
AHA7700524,Minősített rendszerek,31,403311001705,193000243980,"K-SSD 1TB USB 3.2  2,5""",1,DB,19311100,S6XDNS0W360804
AHA7700524,Minősített rendszerek,31,403059171109,193000243981,HDMI átkapcsoló 4P 4K ATEN VS481C,1,DB,19311100,Z3M4-045-0255
AHA7700524,Minősített rendszerek,31,403040252600,193000243994,"Monitor Wide 16:9 LED 24""",1,DB,19311100,5MWCH9DW503070
AHA7700524,Minősített rendszerek,31,403040252600,193000243995,"Monitor Wide 16:9 LED 24""",1,DB,19311100,5MWCH9DW502964
AHA7700524,Minősített rendszerek,31,403040252600,193000243996,"Monitor Wide 16:9 LED 24""",1,DB,19311100,5MWCH9DW502969
